tenor,rate,indexname
6m,0.0019,LIBOR
1y,0.0015,LIBOR
2y,0.0012,LIBOR
3y,0.0014,LIBOR
4y,0.0016,LIBOR
5y,0.002,LIBOR
6y,0.0023,LIBOR
7y,0.0027,LIBOR
8y,0.0029,LIBOR
9y,0.0032,LIBOR
10y,0.0035,LIBOR
12y,0.0039,LIBOR
15y,0.0043,LIBOR
20y,0.0046,LIBOR
30y,0.0047,LIBOR
40y,0.0042,LIBOR
50y,0.0039,LIBOR
6m,0.0004,SONIA
1y,0.0,SONIA
2y,-0.0005,SONIA
3y,-0.0006,SONIA
4y,-0.0005,SONIA
5y,-0.0003,SONIA
6y,0,SONIA
7y,0.0002,SONIA
8y,0.0004,SONIA
9y,0.0007,SONIA
10y,0.0009,SONIA
12y,0.0014,SONIA
15y,0.0017,SONIA
20y,0.002,SONIA
30y,0.0019,SONIA
40y,0.0016,SONIA
50y,0.0013,SONIA


